
   312               34 70 - 80kg (middleweight)         
   313               34 71 - 78kg (half-middleweight)    
   314               34 73 - 81kg (half-middleweight)    
   315               34 78 - 86kg (middleweight)         
   316               34 80 - 93kg (half-heavyweight)     
   317               34 81 - 90kg (middleweight)         
   318               34 86 - 95kg (half-heavyweight)     
   319               34 90 - 100kg (half-heavyweight)    

    ID    DISCIPLINE_ID EVENT                     
______ ________________ _________________________ 
   320               34 open category             
   321               35 lacrosse                  
   322               36 Individual competition    
   323               36 Team competition          
   324               37 polo                      
   325               38 double                    
   326               38 individual                
   327               39 individual                
   328               40 coxed fours Jugriggers    
   329               40 coxless four (4-)         

    ID    DISCIPLINE_ID EVENT                                  
______ ________________ ______________________________________ 
   330               40 coxless pair (2-)                      
   331               40 double sculls (2x)                     
   332               40 eight with coxswain (8+)               
   333               40 four without coxswain (4-)             
   334               40 four-oared shell with coxswain (4-)    
   335               40 lightweight coxless four (4-)          
   336               40 lightweight double sculls (2x)         
   337               40 pair without coxswain (2-)             
   338               40 pair-oared shell with coxswain (2+)    
   339               40 quadruple sculls with coxswain (4x)    

    ID    DISCIPLINE_ID EVENT                                     
______ ________________ _________________________________________ 
   340               40 quadruple sculls without coxswain (4x)    
   341               40 single sculls (1x)                        
   342               41 rugby                                     
   343               42 0.5-1t                                    
   344               42 10-20t                                    
   345               42 10m                                       
   346               42 10m (rating 1907)                         
   347               42 10m (rating 1919)                         
   348               42 12 foot dinghy                            
   349               42 12 foot dinghy individual                 

    ID    DISCIPLINE_ID EVENT                      
______ ________________ __________________________ 
   350               42 12m                        
   351               42 12m (rating 1907)          
   352               42 12m (rating 1919)          
   353               42 18 foot dinghy             
   354               42 3-10t                      
   355               42 30m sq                     
   356               42 40m sq                     
   357               42 470 - Two Person Dinghy    
   358               42 49er - Skiff               
   359               42 5.5m                       

    ID    DISCIPLINE_ID EVENT                        
______ ________________ ____________________________ 
   360               42 6.5m (rating 1919)           
   361               42 6m                           
   362               42 6m (rating 1907)             
   363               42 6m (rating 1919)             
   364               42 7m                           
   365               42 8m                           
   366               42 8m (rating 1907)             
   367               42 8m (rating 1919)             
   368               42 Finn - Heavyweight Dinghy    
   369               42 Laser - One Person Dinghy    

    ID    DISCIPLINE_ID EVENT                               
______ ________________ ___________________________________ 
   370               42 Laser Radial - One Person Dinghy    
   371               42 RS:X - Windsurfer                   
   372               42 Star - Keelboat                     
   373               42 Tornado - Multihull                 
   374               42 Yngling - Keelboat                  
   375               42 board (Mistral)                     
   376               42 board (division II)                 
   377               42 board (lechner)                     
   378               42 board (windglider)                  
   379               42 dragon                              

    ID    DISCIPLINE_ID EVENT                                      
______ ________________ __________________________________________ 
   380               42 firefly class                              
   381               42 fleet/match race keelboat open (Soling)    
   382               42 flying dutchman                            
   383               42 olympic class monotype                     
   384               42 open class                                 
   385               42 sharpie 12m2                               
   386               42 single-handed dinghy (Europe)              
   387               42 single-handed dinghy (Finn)                
   388               42 single-handed dinghy open (Laser)          
   389               42 swallow (golondrina)                       

    ID    DISCIPLINE_ID EVENT                                     
______ ________________ _________________________________________ 
   390               42 tempest                                   
   391               42 two-person keelboat open (Star)           
   392               43 1000y free rifle, prone                   
   393               43 100m running deer, double shots           
   394               43 100m running deer, double shots, team     
   395               43 100m running deer, single shots           
   396               43 100m running deer, single shots, team     
   397               43 100m running deer, single/double shots    
   398               43 10m air pistol (40 shots)                 
   399               43 10m air pistol (60 shots)                 

    ID    DISCIPLINE_ID EVENT                                        
______ ________________ ____________________________________________ 
   400               43 10m air rifle (40 shots)                     
   401               43 10m air rifle (60 shots)                     
   402               43 10m running target (30+30 shots)             
   403               43 25m army pistol                              
   404               43 25m pistol (30+30 shots)                     
   405               43 25m rapid fire pistol (60 shots)             
   406               43 25m small bore rifle, team                   
   407               43 25m small rifle                              
   408               43 25y small bore rifle, disappearing target    
   409               43 25y small bore rifle, moving target          

    ID    DISCIPLINE_ID EVENT                                       
______ ________________ ___________________________________________ 
   410               43 300+600m free rifle, team, prone            
   411               43 300m free rifle 3 positions (3x40 shots)    
   412               43 300m free rifle, prone, team                
   413               43 300m free rifle, standing, team             
   414               43 30m army pistol, team                       
   415               43 400, 600, 800m free rifle, team             
   416               43 50+100y small bore rifle, team              
   417               43 50m army pistol, team                       
   418               43 50m pistol (60 shots)                       
   419               43 50m rifle 3 positions (3x20 shots)          

    ID    DISCIPLINE_ID EVENT                                         
______ ________________ _____________________________________________ 
   420               43 50m rifle 3 positions (3x40 shots)            
   421               43 50m rifle prone (60 shots)                    
   422               43 50m running target (30+30 shots)              
   423               43 50m small bore rifle, standing, individual    
   424               43 50m small bore rifle, team                    
   425               43 50y army pistol, team                         
   426               43 600m free rifle                               
   427               43 600m free rifle, individual                   
   428               43 600m free rifle, prone                        
   429               43 600m free rifle, team                         

    ID    DISCIPLINE_ID EVENT                            
______ ________________ ________________________________ 
   430               43 army rifle, 200m                 
   431               43 army rifle, 300m                 
   432               43 army rifle, 300m, 3 positions    
   433               43 army rifle, 300m, kneeling       
   434               43 army rifle, 300m, prone          
   435               43 army rifle, 300m, standing       
   436               43 clay pigeons, team               
   437               43 double trap (120 targets)        
   438               43 double trap (150 targets)        
   439               43 free rifle, team                 

    ID    DISCIPLINE_ID EVENT                  
______ ________________ ______________________ 
   440               43 rifle, team            
   441               43 skeet (125 targets)    
   442               43 skeet (75 targets)     
   443               43 trap (125 targets)     
   444               43 trap (75 targets)      
   445               44 individual             
   446               44 pairs                  
   447               44 special figures        
   448               45 softball               
   449               46 doubles                

    ID    DISCIPLINE_ID EVENT         
______ ________________ _____________ 
   450               46 singles       
   451               46 team          
   452               47 + 67 kg       
   453               47 + 80 kg       
   454               47 - 49 kg       
   455               47 - 58 kg       
   456               47 49 - 57 kg    
   457               47 57 - 67 kg    
   458               47 58 - 68 kg    
   459               47 68 - 80 kg    

    ID    DISCIPLINE_ID EVENT                   
______ ________________ _______________________ 
   460               48 doubles                 
   461               48 doubles indoor          
   462               48 mixed doubles           
   463               48 mixed doubles indoor    
   464               48 singles                 
   465               48 singles indoor          
   466               49 Individual              
   467               50 tug of war              

648 rows selected. 

